FIPS,year,median_household_income,poverty_rate,bachelor_plus_rate,unemployment_rate_acs,CO,NO2,PM2_5,PM10,O3,prcCancer_non_skin,prcAsthma,prcCoronaryHeartDisease,prcCOPD,prcSmoking,prcDiabetes,prcLPA,prcObesity,prcStroke
01039,2022,48772.0,0.1878307596276494,0.1630808787386093,0.0549257844303876,0.2513760655320462,6.75228395103685,7.887291834537885,16.70350697928201,0.0300827351189997,8.1,9.8,9.6,11.0,20.1,14.8,30.2,44.8,4.6
01039,2023,50886.0,0.1804310251701415,0.1717751993650553,0.0456410580140142,0.2772706044560383,6.641001162100063,9.15010898910696,17.132259445085776,0.0319649866612434,9.9,10.2,9.2,10.4,17.6,16.3,31.9,37.9,4.9
01041,2019,43163.0,0.151581883579241,0.1740970072239422,0.0342477423751916,0.2678307479423198,7.599283143862225,8.234984406260693,15.120358436701853,0.0298266830153145,8.1,10.3,9.0,10.7,22.9,15.9,36.6,35.9,5.1
01041,2020,42611.0,0.1455229384865024,0.1850475010326311,0.040498974709501,0.2655863301841678,6.806138802070315,7.773505196826633,14.95683460982012,0.0270588905719357,8.0,11.0,9.9,11.1,22.0,16.4,33.3,36.6,5.0
01041,2021,43103.0,0.131010719754977,0.1642064432711992,0.0472283005105762,0.2810031492241729,7.115436794714415,8.220171557417713,14.946631554412765,0.0276269549529457,7.8,10.6,8.3,10.0,20.1,15.1,37.6,38.3,4.4
01041,2022,48557.0,0.1485847227607599,0.1719501530389156,0.0607613469985358,0.2553195552791447,7.04879811253359,7.850856578598309,14.826872142308911,0.0296361073410091,7.5,10.2,9.1,10.6,21.1,15.4,32.4,40.5,4.6
01041,2023,49040.0,0.1619077258227651,0.1680579964850615,0.0486685032139577,0.2798986137875367,6.945805055227229,9.365599063276534,16.19350115953157,0.0318561616277475,8.7,10.5,8.5,9.9,18.1,16.6,32.6,40.5,4.8
01043,2019,44918.0,0.1486941921884383,0.1386550254651283,0.0508831766630618,0.2856805322947126,9.329483678882754,7.831115728623187,17.29069735280621,0.0302683162436184,8.1,9.7,8.2,10.2,22.5,12.9,34.4,33.4,4.2
01043,2020,48388.0,0.1268885856321278,0.1541560498588251,0.0500711084874017,0.259788292635984,8.174476228902567,7.781137055229772,16.876078936042887,0.0271149404261001,8.0,10.3,9.2,10.8,21.7,13.7,32.3,33.4,4.2
01043,2021,52690.0,0.1221860843303519,0.1647705694896223,0.0439794729404764,0.2732315554954825,8.297755578257032,8.482488603437352,17.732109217569977,0.0275300728873746,7.9,10.1,7.7,9.2,18.4,12.4,31.4,37.9,3.6
01043,2022,58119.0,0.1303196064265318,0.18296488946684,0.0433917873341579,0.22643539063067,7.881067184884209,7.973853641455706,17.953517826391522,0.0300762858396138,7.6,9.5,8.5,9.9,20.1,12.8,30.3,38.2,3.8
01043,2023,60916.0,0.1390188764552956,0.1908653846153846,0.041769749957966,0.2334890288373877,7.9238446773006626,8.598517042357612,19.05801057037572,0.0321132674006092,9.5,9.8,7.9,9.0,16.6,13.4,27.3,36.4,4.0
01045,2019,47214.0,0.17645949852322,0.1813841057626309,0.0797790733353789,0.2583136523345667,7.629637801874488,8.16065239865134,15.474888897667569,0.029409430481987,7.3,9.6,7.8,9.1,21.3,14.3,33.3,37.9,4.3
01045,2020,45644.0,0.1838061093989139,0.1821788676093312,0.0902295220046325,0.2624822041198359,6.88362056466811,7.801313115428718,15.71135452421971,0.0272179927011299,7.5,10.4,8.7,9.6,20.8,14.4,31.0,43.4,4.3
01045,2021,50052.0,0.167105208202815,0.1868118788311611,0.0817204301075268,0.2786981291420964,7.233434279072225,8.437487879378997,16.140062085540453,0.0275906930678786,7.4,10.4,7.6,8.9,19.7,14.1,35.5,38.7,3.9
01045,2022,52813.0,0.17518927640561,0.1916169442218066,0.0777415741777823,0.254554844127336,7.191350632715484,7.971998397194218,16.41563755077307,0.0293164565879426,7.0,10.1,8.4,9.7,19.7,14.8,30.3,38.9,4.2
01045,2023,53955.0,0.1871096728981594,0.1932785528493733,0.0679748822605965,0.2795487301507083,7.089825677140482,9.268656139711338,17.31782185422093,0.0313377595044824,8.4,10.3,8.1,9.2,17.5,15.8,31.7,41.3,4.4
01047,2019,33845.0,0.2906656981269133,0.1470992366412213,0.1104842209684419,0.2716421426694705,7.829080158377453,8.043082415413028,16.130668717465536,0.0294644711028387,7.4,11.5,9.7,11.1,23.0,20.8,42.1,47.2,6.7
